"res","i","i <= 25","res.push","i++","return res"
"[]","1","true","1","1","undefined"
"[1]","2","true","2","2","undefined"
"[1,2]","3","true","3","3","undefined"
"[1,2,3]","4","true","4","4","undefined"
"[1,2,3,4]","5","true","5","5","undefined"
"[1,2,3,4,5]","6","true","6","6","undefined"
"[1,2,3,4,5,6]","7","true","7","7","undefined"
"[1,2,3,4,5,6,7]","8","true","8","8","undefined"
"[1,2,3,4,5,6,7,8]","9","true","9","9","undefined"
"[1,2,3,4,5,6,7,8,9]","10","true","10","10","undefined"
"[1,2,3,4,5,6,7,8,9,10]","11","true","11","11","undefined"
"[1,2,3,4,5,6,7,8,9,10,11]","12","true","12","12","undefined"
"[1,2,3,4,5,6,7,8,9,10,11,12]","13","true","13","13","undefined"
"[1,2,3,4,5,6,7,8,9,10,11,12,13]","14","true","14","14","undefined"
"[1,2,3,4,5,6,7,8,9,10,11,12,13,14]","15","true","15","15","undefined"
"[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15]","16","true","16","16","undefined"
"[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16]","17","true","17","17","undefined"
"[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17]","18","true","18","18","undefined"
"[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18]","19","true","19","19","undefined"
"[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19]","20","true","20","20","undefined"
"[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20]","21","true","21","21","undefined"
"[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21]","22","true","22","22","undefined"
"[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22]","23","true","23","23","undefined"
"[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23]","24","true","24","24","undefined"
"[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24]","25","true","25","25","undefined"
"[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25]","26","false ","-","-","res"
